f	yi: one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / "one" radical in Chinese characters (Kangxi radical 1) 
d	yi qie: everything / every / all 
d	di yi: first / number one 
c	yi bian: one side / either side / on the one hand / on the other hand / doing while 
b	tong yi: to unify / to unite / to integrate 
a	yi ding: surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must 
hi	yi xie: some / a few / a little 	
world	yi yang: same / like / equal to / the same as / just like 
test	zhi yi: one of (sth) / one out of a multitude / one (third, quarter, percent etc) 
lol	jin yi bu: one step further / to move forward a step / further onwards 
